Transaction_ID,Customer_ID,Transaction_Date,Transaction_Type,Amount,Merchant_Category,City,Payment_Method,Is_Fraud
T00127,C2678,2025-06-29,Transfer,93.88,Electronics,Faisalabad,Credit Card,0
T00128,C4242,2025-01-10,Payment,541.94,Electronics,Peshawar,Debit Card,0
T00129,C5636,2025-10-11,Transfer,86.8,Food,Lahore,ATM,0
T00130,C2059,2025-05-06,Withdrawal,90.94,Electronics,Peshawar,ATM,0
T00131,C7668,2025-05-14,Transfer,46.99,Healthcare,Karachi,ATM,0
T00132,C4157,2025-06-04,Transfer,643.87,Food,Lahore,Credit Card,0
T00133,C6915,2025-09-05,Payment,121.94,Utilities,Faisalabad,Debit Card,0
T00134,C3693,2025-05-20,Transfer,168.98,Utilities,Islamabad,Online Banking,0
T00135,C4627,2025-11-14,Deposit,120.72,Electronics,Faisalabad,Online Banking,0
T00136,C6450,2025-06-25,Deposit,58.32,Retail,Peshawar,Debit Card,0
T00137,C2663,2025-11-19,Withdrawal,332.58,Food,Peshawar,Debit Card,0
T00138,C6592,2025-06-23,Withdrawal,5.78,Travel,Karachi,Debit Card,0
T00139,C8392,2025-03-15,Withdrawal,234.39,Travel,Islamabad,Debit Card,0
T00140,C2306,2025-12-17,Withdrawal,180.41,Electronics,Islamabad,Debit Card,0
T00141,C7776,2025-05-23,Payment,31.16,Retail,Lahore,Online Banking,0
T00142,C6864,2025-10-19,Transfer,36.28,Food,Lahore,ATM,0
T00143,C8526,2025-04-22,Payment,215.31,Utilities,Peshawar,Debit Card,0
T00144,C9901,2025-07-25,Withdrawal,74.83,Electronics,Karachi,Credit Card,0
T00145,C6575,2025-05-11,Transfer,61.78,Food,Peshawar,ATM,0
T00146,C6530,2025-04-20,Deposit,12.2,Food,Islamabad,Online Banking,0
T00147,C5413,2025-03-08,Payment,290.9,Food,Islamabad,Debit Card,0
T00148,C4748,2025-03-27,Transfer,428.56,Retail,Peshawar,Credit Card,0
T00149,C1663,2025-10-02,Deposit,342.79,Food,Islamabad,Online Banking,0
T00150,C2998,2025-08-15,Deposit,125.48,Retail,Lahore,ATM,0
T00151,C8994,2025-11-21,Withdrawal,152.7,Retail,Islamabad,ATM,0
T00152,C2495,2025-01-10,Deposit,55.49,Healthcare,Lahore,Credit Card,0
T00153,C4304,2025-12-21,Deposit,37.95,Food,Faisalabad,Debit Card,0
T00154,C4763,2025-10-15,Withdrawal,346.32,Healthcare,Karachi,Credit Card,0
T00155,C6232,2025-04-22,Transfer,320.24,Utilities,Karachi,Credit Card,0
T00156,C2853,2025-01-24,Transfer,300.44,Healthcare,Islamabad,Online Banking,0
T00157,C7585,2025-10-18,Withdrawal,124.49,Healthcare,Karachi,Credit Card,0
T00158,C2291,2025-12-05,Payment,399.77,Food,Faisalabad,Credit Card,0
T00159,C4581,2025-11-22,Withdrawal,521.37,Utilities,Islamabad,ATM,0
T00160,C8554,2025-06-17,Transfer,79.6,Electronics,Lahore,Online Banking,0
T00161,C8280,2025-04-19,Payment,50.9,Travel,Faisalabad,Debit Card,0
T00162,C2636,2025-07-09,Withdrawal,124.82,Electronics,Faisalabad,ATM,0
T00163,C4696,2025-12-21,Transfer,39.53,Retail,Karachi,Credit Card,0
T00164,C1698,2025-07-15,Transfer,430.84,Electronics,Lahore,Debit Card,0
T00165,C5737,2025-02-02,Transfer,82.5,Travel,Peshawar,Online Banking,0
T00166,C1854,2025-07-24,Deposit,171.69,Travel,Faisalabad,ATM,0
T00167,C9164,2025-11-08,Deposit,180.64,Utilities,Karachi,Debit Card,0
T00168,C6855,2025-07-01,Payment,144.72,Electronics,Faisalabad,Credit Card,0
T00169,C8392,2025-05-27,Payment,34.05,Retail,Lahore,Credit Card,0
T00170,C7528,2025-09-25,Payment,942.12,Healthcare,Lahore,Debit Card,0
T00171,C6249,2025-01-11,Deposit,37.89,Healthcare,Islamabad,ATM,0
T00172,C6172,2025-03-11,Payment,278.47,Retail,Peshawar,Debit Card,0
T00173,C2707,2025-09-13,Transfer,313.43,Utilities,Peshawar,Credit Card,0
T00174,C6791,2025-08-07,Transfer,31.37,Healthcare,Karachi,Online Banking,0
T00175,C6535,2025-10-24,Payment,541.1,Utilities,Peshawar,ATM,0
T00176,C5931,2025-12-28,Payment,133.79,Healthcare,Lahore,Credit Card,0
T00177,C4510,2025-09-16,Deposit,198.25,Healthcare,Peshawar,Credit Card,0
T00178,C1202,2025-01-03,Transfer,205.55,Electronics,Karachi,Debit Card,0
T00179,C5218,2025-03-25,Withdrawal,140.62,Utilities,Faisalabad,Credit Card,0
T00180,C9958,2025-06-05,Withdrawal,30.64,Travel,Peshawar,ATM,0
T00181,C5389,2025-05-31,Deposit,278.67,Retail,Peshawar,Debit Card,0
T00182,C3327,2025-06-25,Deposit,174.35,Healthcare,Lahore,Online Banking,0
T00183,C9004,2025-07-14,Deposit,25.27,Travel,Lahore,Credit Card,0
T00184,C3931,2025-04-17,Transfer,241.01,Food,Faisalabad,ATM,0
T00185,C8777,2025-05-14,Payment,242.65,Travel,Islamabad,ATM,0
T00186,C1197,2025-10-03,Payment,159.03,Retail,Peshawar,Online Banking,0
T00187,C8125,2025-12-18,Deposit,18.98,Food,Lahore,ATM,0
T00188,C2930,2025-06-04,Transfer,86.97,Electronics,Islamabad,ATM,0
T00189,C7287,2025-10-04,Withdrawal,10.45,Food,Peshawar,Online Banking,0
T00190,C9800,2025-08-24,Deposit,129.86,Utilities,Peshawar,Credit Card,0
T00191,C5282,2025-08-28,Transfer,473.85,Retail,Islamabad,ATM,0
T00192,C3511,2025-01-13,Deposit,0.45,Utilities,Lahore,Debit Card,0
T00193,C1659,2025-12-08,Transfer,62.02,Travel,Faisalabad,ATM,0
T00194,C3811,2025-02-04,Transfer,321.75,Electronics,Peshawar,Debit Card,0
T00195,C8098,2025-02-16,Deposit,1.98,Retail,Karachi,ATM,0
T00196,C7546,2025-08-02,Payment,2.05,Electronics,Karachi,Credit Card,0
T00197,C2986,2025-05-26,Deposit,188.74,Healthcare,Karachi,ATM,0
T00198,C9338,2025-06-08,Payment,311.37,Retail,Faisalabad,Debit Card,0
T00199,C3911,2025-05-05,Payment,299.67,Utilities,Peshawar,ATM,0
T00200,C2734,2025-04-20,Withdrawal,302.44,Travel,Lahore,Debit Card,0
T00201,C2843,2025-02-06,Transfer,89.57,Food,Lahore,Online Banking,0
T00202,C9680,2025-10-04,Deposit,428.65,Electronics,Faisalabad,ATM,0
T00203,C3976,2025-01-14,Transfer,2.58,Retail,Peshawar,ATM,0
T00204,C2959,2025-12-13,Withdrawal,74.85,Retail,Islamabad,Debit Card,0
T00205,C6759,2025-08-20,Payment,82.25,Healthcare,Islamabad,Debit Card,0
T00206,C7694,2025-11-12,Deposit,36.2,Electronics,Peshawar,Credit Card,0
T00207,C3385,2025-05-04,Transfer,81.96,Food,Peshawar,Online Banking,0
T00208,C5736,2025-10-06,Withdrawal,176.32,Travel,Lahore,Debit Card,0
T00209,C2802,2025-04-21,Payment,146.91,Retail,Faisalabad,Credit Card,0
T00210,C9155,2025-05-04,Payment,76.96,Retail,Faisalabad,Debit Card,0
T00211,C9120,2025-01-30,Transfer,276.72,Electronics,Lahore,Online Banking,0
T00212,C7616,2025-04-25,Payment,250.91,Electronics,Karachi,Online Banking,0
T00213,C6534,2025-03-31,Withdrawal,65.89,Retail,Islamabad,Online Banking,0
T00214,C5061,2025-07-31,Payment,78.08,Retail,Peshawar,Online Banking,0
T00215,C1262,2025-02-07,Deposit,67.8,Healthcare,Islamabad,ATM,0
T00216,C7287,2025-03-24,Deposit,27.59,Retail,Islamabad,Online Banking,0
T00217,C9815,2025-01-27,Transfer,279.5,Utilities,Faisalabad,Online Banking,0
T00218,C3049,2025-08-05,Withdrawal,9.48,Retail,Lahore,Credit Card,0
T00219,C6423,2025-12-26,Payment,32.64,Travel,Karachi,Online Banking,0
T00220,C5548,2025-08-03,Payment,22.25,Travel,Karachi,Debit Card,0
T00221,C4108,2025-08-09,Payment,348.98,Healthcare,Lahore,Debit Card,0
T00222,C8158,2025-01-15,Deposit,9.0,Food,Islamabad,Debit Card,0
T00223,C8400,2025-09-16,Withdrawal,218.5,Electronics,Lahore,ATM,0
T00224,C4170,2025-09-23,Payment,9.1,Food,Lahore,Debit Card,0
T00225,C3255,2025-04-30,Transfer,308.77,Retail,Peshawar,Online Banking,0
T00226,C2154,2025-05-08,Withdrawal,487.71,Electronics,Peshawar,ATM,0
T00227,C5499,2025-07-30,Withdrawal,133.43,Retail,Islamabad,Online Banking,0
T00228,C7295,2025-01-11,Payment,326.48,Electronics,Faisalabad,Credit Card,0
T00229,C7197,2025-06-25,Deposit,245.11,Healthcare,Karachi,Online Banking,0
T00230,C2648,2025-05-13,Withdrawal,317.57,Utilities,Peshawar,Debit Card,0
T00231,C6539,2025-11-21,Transfer,291.15,Utilities,Islamabad,Credit Card,0
T00232,C5199,2025-11-16,Withdrawal,45.98,Utilities,Lahore,Credit Card,0
T00233,C9445,2025-01-14,Deposit,138.45,Healthcare,Peshawar,Credit Card,0
T00234,C3557,2025-02-19,Transfer,645.86,Food,Lahore,Credit Card,0
T00235,C6592,2025-03-13,Deposit,84.18,Electronics,Lahore,ATM,0
T00236,C1098,2025-03-10,Payment,704.59,Food,Peshawar,Online Banking,0
T00237,C3200,2025-01-16,Withdrawal,175.01,Electronics,Islamabad,Credit Card,0
T00238,C3961,2025-11-30,Transfer,123.83,Retail,Karachi,ATM,0
T00239,C5973,2025-12-23,Deposit,214.45,Utilities,Islamabad,ATM,0
T00240,C5433,2025-02-25,Payment,338.39,Utilities,Faisalabad,ATM,0
T00241,C3869,2025-04-15,Transfer,100.24,Electronics,Faisalabad,Online Banking,0
T00242,C1956,2025-05-12,Withdrawal,6.7,Food,Karachi,Credit Card,0
T00243,C9352,2025-02-17,Withdrawal,246.75,Food,Faisalabad,Online Banking,0
T00244,C6699,2025-09-05,Deposit,625.47,Travel,Lahore,ATM,0
T00245,C7944,2025-09-30,Transfer,196.16,Utilities,Faisalabad,ATM,0
T00246,C5493,2025-04-21,Payment,41.75,Utilities,Peshawar,Online Banking,0
T00247,C5911,2025-11-22,Payment,57.07,Food,Lahore,ATM,0
T00248,C4987,2025-12-02,Payment,481.04,Utilities,Islamabad,ATM,0
T00249,C7015,2025-12-15,Deposit,2.73,Food,Karachi,Debit Card,0
T00250,C2218,2025-02-07,Payment,159.15,Travel,Peshawar,ATM,0
T00251,C5496,2025-12-23,Transfer,34.56,Electronics,Peshawar,Online Banking,0
T00252,C5735,2025-08-28,Deposit,66.47,Electronics,Karachi,Credit Card,0
T00253,C5555,2025-11-14,Withdrawal,73.34,Travel,Faisalabad,Credit Card,0
T00254,C9050,2025-05-01,Deposit,49.51,Utilities,Karachi,Online Banking,0
T00255,C4446,2025-02-17,Deposit,314.38,Retail,Karachi,Online Banking,0
T00256,C2045,2025-01-10,Deposit,80.76,Utilities,Faisalabad,ATM,0
T00257,C7893,2025-08-21,Transfer,84.77,Food,Islamabad,Online Banking,0
T00258,C2693,2025-02-05,Withdrawal,120.66,Healthcare,Karachi,Online Banking,0
T00259,C4436,2025-01-04,Withdrawal,465.16,Retail,Faisalabad,ATM,0
T00260,C9754,2025-02-13,Deposit,233.06,Travel,Peshawar,Debit Card,0
T00261,C6895,2025-02-25,Deposit,12.75,Electronics,Karachi,Debit Card,0
T00262,C4354,2025-02-11,Deposit,8.01,Electronics,Karachi,ATM,0
T00263,C1225,2025-09-12,Transfer,167.12,Utilities,Islamabad,Debit Card,0
T00264,C5893,2025-08-16,Transfer,436.18,Electronics,Islamabad,Debit Card,0
T00265,C8022,2025-04-24,Payment,78.09,Utilities,Peshawar,ATM,0
T00266,C6600,2025-08-25,Withdrawal,56.94,Food,Islamabad,Debit Card,0
T00267,C8996,2025-06-23,Payment,275.82,Food,Peshawar,Online Banking,0
T00268,C8683,2025-09-12,Payment,184.31,Travel,Karachi,Debit Card,0
T00269,C5642,2025-10-04,Deposit,166.49,Healthcare,Faisalabad,Debit Card,0
T00270,C8679,2025-12-01,Transfer,32.34,Food,Islamabad,Online Banking,0
T00271,C9208,2025-03-10,Payment,38.71,Utilities,Peshawar,Online Banking,0
T00272,C8339,2025-11-22,Payment,66.2,Electronics,Islamabad,Credit Card,0
T00273,C3205,2025-08-18,Payment,46.35,Food,Islamabad,ATM,0
T00274,C2069,2025-03-08,Deposit,711.18,Food,Lahore,Credit Card,0
T00275,C4444,2025-10-31,Deposit,3.76,Utilities,Karachi,Credit Card,0
T00276,C2060,2025-02-05,Transfer,196.73,Food,Islamabad,Debit Card,0
T00277,C3327,2025-06-08,Payment,145.8,Electronics,Faisalabad,Online Banking,0
T00278,C4420,2025-05-29,Payment,78.09,Healthcare,Lahore,Credit Card,0
T00279,C1301,2025-01-27,Transfer,437.12,Electronics,Peshawar,ATM,0
T00280,C1606,2025-03-13,Transfer,221.83,Healthcare,Peshawar,Credit Card,0
T00281,C4170,2025-09-05,Transfer,1281.92,Electronics,Faisalabad,Debit Card,0
T00282,C1699,2025-04-11,Withdrawal,36.94,Electronics,Faisalabad,Credit Card,0
T00283,C6088,2025-07-09,Transfer,18.39,Retail,Karachi,Online Banking,0
T00284,C1190,2025-04-06,Deposit,30.02,Electronics,Faisalabad,Online Banking,0
T00285,C1980,2025-10-09,Withdrawal,62.75,Retail,Peshawar,ATM,0
T00286,C3975,2025-11-18,Transfer,107.84,Electronics,Karachi,Credit Card,0
T00287,C7102,2025-10-05,Deposit,396.98,Electronics,Faisalabad,Online Banking,0
T00288,C2184,2025-01-17,Transfer,66.7,Utilities,Faisalabad,Credit Card,0
T00289,C4327,2025-09-20,Transfer,493.59,Healthcare,Peshawar,Credit Card,0
T00290,C4394,2025-04-17,Withdrawal,124.32,Electronics,Karachi,Online Banking,0
T00291,C9319,2025-03-09,Deposit,208.3,Food,Lahore,Online Banking,0
T00292,C2816,2025-05-08,Payment,61.42,Electronics,Lahore,Debit Card,0
T00293,C6854,2025-10-20,Transfer,33.92,Travel,Karachi,Debit Card,0
T00294,C7709,2025-10-21,Withdrawal,407.21,Utilities,Faisalabad,ATM,0
T00295,C1569,2025-04-06,Deposit,23.2,Utilities,Faisalabad,ATM,0
T00296,C6442,2025-01-01,Transfer,297.46,Electronics,Karachi,ATM,0
T00297,C2895,2025-10-25,Payment,173.97,Travel,Lahore,Credit Card,0
T00298,C3733,2025-06-29,Deposit,394.85,Healthcare,Islamabad,ATM,0
T00299,C4863,2025-06-30,Deposit,253.04,Electronics,Peshawar,Online Banking,0
T00300,C8455,2025-08-23,Withdrawal,66.16,Food,Karachi,ATM,0
T00301,C5014,2025-11-15,Transfer,170.86,Utilities,Islamabad,Credit Card,0
T00302,C2686,2025-12-03,Transfer,2.63,Utilities,Peshawar,Debit Card,0
T00303,C4009,2025-01-08,Deposit,128.95,Healthcare,Islamabad,Credit Card,0
T00304,C8806,2025-01-27,Transfer,17.99,Travel,Islamabad,Online Banking,0
T00305,C1154,2025-11-04,Deposit,112.05,Retail,Peshawar,ATM,0
T00306,C2409,2025-05-26,Payment,23.22,Healthcare,Islamabad,ATM,0
T00307,C1784,2025-04-01,Withdrawal,622.36,Travel,Lahore,Online Banking,0
T00308,C9096,2025-12-08,Transfer,148.08,Food,Karachi,ATM,0
T00309,C8560,2025-09-29,Transfer,488.87,Travel,Lahore,Debit Card,0
T00310,C8343,2025-11-18,Withdrawal,4.52,Healthcare,Lahore,Credit Card,0
T00311,C8206,2025-01-05,Payment,203.03,Retail,Peshawar,Credit Card,0
T00312,C6596,2025-03-23,Payment,73.33,Food,Peshawar,Online Banking,0
T00313,C6801,2025-08-07,Payment,113.07,Food,Peshawar,Debit Card,0
T00314,C3806,2025-04-28,Payment,412.85,Retail,Islamabad,Online Banking,0
T00315,C1537,2025-03-22,Payment,782.62,Electronics,Islamabad,Online Banking,0
T00316,C6986,2025-03-11,Deposit,56.6,Travel,Karachi,Debit Card,0
T00317,C2841,2025-04-25,Transfer,592.28,Healthcare,Islamabad,Online Banking,0
T00318,C9716,2025-09-20,Transfer,233.42,Food,Karachi,Credit Card,0
T00319,C7971,2025-11-02,Transfer,604.88,Healthcare,Lahore,ATM,0
T00320,C6625,2025-05-22,Deposit,165.27,Travel,Karachi,Credit Card,0
T00321,C3950,2025-07-26,Withdrawal,647.59,Retail,Karachi,ATM,0
T00322,C8992,2025-04-21,Payment,445.97,Utilities,Peshawar,ATM,0
T00323,C5780,2025-10-30,Withdrawal,27.53,Retail,Islamabad,Credit Card,0
T00324,C3368,2025-04-22,Payment,74.44,Travel,Faisalabad,Online Banking,0
T00325,C7655,2025-02-12,Payment,55.7,Food,Faisalabad,Debit Card,0
T00326,C9173,2025-12-13,Withdrawal,169.77,Travel,Peshawar,ATM,0
T00327,C5495,2025-10-12,Transfer,324.71,Utilities,Lahore,Debit Card,0
T00328,C7002,2025-05-08,Deposit,284.93,Food,Lahore,Debit Card,0
T00329,C7614,2025-07-04,Withdrawal,259.47,Utilities,Lahore,ATM,0
T00330,C6919,2025-08-17,Transfer,94.09,Electronics,Karachi,Debit Card,0
